  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   37    0   86.21  80.65    25     29   31      3     37    36    97.30
   2   45    0   60.00  54.55    18     30   33      9     45    42    93.33
   3   20    0   41.18  46.67     7     17   15      6     20    20   100.00
   4   37    0   64.71  55.00    11     17   20      3     37    34    91.89
   5   23    0   78.95  83.33    15     19   18      2     23    23   100.00
   6   22    0   88.24  93.75    15     17   16      0     22    22   100.00
   7   17    0   85.71  80.00    12     14   15      1     17    16    94.12
   8   28    0   79.17  67.86    19     24   28      7     28    27    96.43
   9   34    0   86.67  86.67    26     30   30      2     34    34   100.00
  10   23    0   76.19  69.57    16     21   23      3     23    23   100.00
  11   30    0   75.00  66.67    18     24   27      5     30    29    96.67
  12   29    0   88.00  81.48    22     25   27      2     29    28    96.55
  13   23    0   83.33  83.33    20     24   24      3     23    22    95.65
  14   13    0  100.00 100.00     9      9    9      0     13    12    92.31
  15   20    0   70.59  80.00    12     17   15      2     20    19    95.00
  16   42    0   65.71  62.16    23     35   37     11     42    40    95.24
  17   44    0   67.74  63.64    21     31   33      4     44    37    84.09
  18   27    0   64.00  69.57    16     25   23      6     27    23    85.19
  19   26    0   54.17  50.00    13     24   26     12     26    23    88.46
  20   15    0   63.64  70.00     7     11   10      2     15    12    80.00
  21    9    0   70.00  58.33     7     10   12      0      9     8    88.89
  22   42    0   46.88  40.54    15     32   37     16     42    37    88.10
  23   22    0   78.26  78.26    18     23   23      5     22    21    95.45
  24   17    0   58.33  53.85     7     12   13      0     17    16    94.12
  25   10    0   87.50  77.78     7      8    9      0     10     9    90.00
  26   22    0   68.75  73.33    11     16   15      3     22    20    90.91
  27   17    0   81.82  64.29     9     11   14      1     17    15    88.24
  28   14    0   88.89  88.89     8      9    9      0     14    14   100.00
  29   21    0   90.00  90.00    18     20   20      1     21    16    76.19
  30   18    0   72.73  80.00     8     11   10      0     18    18   100.00
  31   26    0   94.44  89.47    17     18   19      0     26    24    92.31
  32    8    0  100.00 100.00     6      6    6      0      8     8   100.00
  33   17    0   85.71  85.71    12     14   14      1     17    16    94.12
  34   27    0   82.35  70.00    14     17   20      2     27    27   100.00
  35   21    0   78.57  73.33    11     14   15      3     21    20    95.24
  36   32    0   76.67  76.67    23     30   30      4     32    29    90.62
  37   21    0   75.00  78.95    15     20   19      2     21    21   100.00
  38    9    0  100.00 100.00     8      8    8      0      9     9   100.00
  39   12    0   61.54  57.14     8     13   14      4     12     8    66.67
  40   11    0   91.67  91.67    11     12   12      0     11    10    90.91
  41   24    0   57.14  52.17    12     21   23      4     24    24   100.00
  42   40    0   90.62  85.29    29     32   34      1     40    37    92.50
  43   13    0   90.91  90.91    10     11   11      0     13    13   100.00
  44   14    0   92.86  86.67    13     14   15      1     14    13    92.86
  45   40    0   55.88  57.58    19     34   33     12     40    38    95.00
  46   20    0   94.74  90.00    18     19   20      0     20    14    70.00
  47   32    0   73.68  77.78    14     19   18      0     32    27    84.38
  48   29    0   68.00  68.00    17     25   25      4     29    27    93.10
  49   19    0   64.71  55.00    11     17   20      5     19    17    89.47
  50   13    0   81.82  75.00     9     11   12      1     13    12    92.31
  51   11    0  100.00  90.00     9      9   10      0     11    10    90.91
  52   21    0   66.67  63.64    14     21   22      6     21    20    95.24
  53   41    0   48.78  46.51    20     41   43     15     41    35    85.37
  54   18    0   85.71  85.71    12     14   14      0     18    17    94.44
  55   11    0   62.50  50.00     5      8   10      1     11    10    90.91
  56   23    0   52.94  45.00     9     17   20      5     23    22    95.65
  57   23    0   64.29  50.00     9     14   18      1     23    20    86.96
  58   33    0   60.00  63.64    21     35   33      9     33    32    96.97
  59   28    0   47.37  42.86     9     19   21      9     28    22    78.57
  60   22    0   68.42  76.47    13     19   17      3     22    22   100.00
  61   14    0   76.92  66.67    10     13   15      3     14    12    85.71
  62   27    0   91.67  95.65    22     24   23      0     27    26    96.30
  63   24    0   80.00  69.57    16     20   23      3     24    23    95.83
  64   15    0   57.14  50.00     8     14   16      4     15    15   100.00
  65   24    0   90.48  95.00    19     21   20      0     24    23    95.83
  66   17    0   87.50  77.78    14     16   18      1     17    17   100.00
  67    4    0  100.00 100.00     2      2    2      0      4     4   100.00
  68    3    0   50.00  50.00     1      2    2      0      3     3   100.00
  69   31    0   76.19  72.73    16     21   22      2     31    30    96.77
  70    5    0   80.00  80.00     4      5    5      0      5     5   100.00
