  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1    8    0   71.43  83.33     5      7    6      0      8     7    87.50
   2   40    0   66.67  62.50    20     30   32      9     40    40   100.00
   3   31    0   85.00  77.27    17     20   22      3     31    30    96.77
   4   35    0   76.00  86.36    19     25   22      3     35    32    91.43
   5   26    0   95.65  91.67    22     23   24      0     26    25    96.15
   6   17    0   78.57  84.62    11     14   13      1     17    17   100.00
   7   30    0   45.45  27.78     5     11   18      0     30    26    86.67
   8    6    0  100.00  83.33     5      5    6      0      6     5    83.33
   9    7    0  100.00 100.00     5      5    5      0      7     7   100.00
  10   36    0   88.00  91.67    22     25   24      0     36    33    91.67
  11   25    0   75.00  65.22    15     20   23      1     25    24    96.00
  12   16    0   92.86 100.00    13     14   13      0     16    16   100.00
  13   17    0   83.33  88.24    15     18   17      1     17    17   100.00
  14   28    0   93.33  82.35    14     15   17      0     28    27    96.43
  15   42    0   57.69  53.57    15     26   28      9     42    42   100.00
  16   15    0   81.82  75.00     9     11   12      2     15    13    86.67
  17   13    0  100.00 100.00    11     11   11      0     13    13   100.00
  18    8    0  100.00 100.00     6      6    6      0      8     8   100.00
  19   23    0   55.56  58.82    10     18   17      5     23    20    86.96
  20   33    0   69.57  66.67    16     23   24      5     33    33   100.00
  21    9    0  100.00 100.00     7      7    7      0      9     9   100.00
  22   37    0   71.43  68.97    20     28   29      7     37    34    91.89
  23   28    0   47.83  52.38    11     23   21      8     28    26    92.86
  24   24    0   68.75  68.75    11     16   16      1     24    20    83.33
  25   26    0   87.50  73.68    14     16   19      0     26    23    88.46
  26   13    0   85.71  85.71    12     14   14      0     13    13   100.00
  27   28    0   90.91  86.96    20     22   23      2     28    26    92.86
  28   22    0   50.00  56.25     9     18   16      2     22    21    95.45
  29   12    0   66.67  66.67     6      9    9      1     12    11    91.67
  30    4    0  100.00 100.00     4      4    4      0      4     4   100.00
  31   22    0  100.00  94.74    18     18   19      0     22    21    95.45
  32   47    0   75.56  72.34    34     45   47      9     47    42    89.36
  33    5    0  100.00 100.00     5      5    5      0      5     5   100.00
  34   24    0   89.47  80.95    17     19   21      0     24    21    87.50
  35   28    0   88.46  82.14    23     26   28      0     28    26    92.86
  36   24    0   66.67  66.67    16     24   24      7     24    19    79.17
  37   17    0   75.00  75.00     9     12   12      1     17    17   100.00
  38   17    0   76.92  71.43    10     13   14      3     17    17   100.00
  39   38    0   88.89  92.31    24     27   26      0     38    35    92.11
  40   21    0  100.00  93.75    15     15   16      0     21    19    90.48
  41   33    0   57.14  50.00    16     28   32     10     33    28    84.85
  42   15    0  100.00 100.00    10     10   10      0     15    15   100.00
  43   34    0   67.74  65.62    21     31   32      9     34    32    94.12
  44   12    0  100.00  87.50     7      7    8      0     12     9    75.00
  45   12    0  100.00 100.00     9      9    9      0     12    12   100.00
  46   36    0   72.00  69.23    18     25   26      6     36    35    97.22
  47   30    0   69.23  85.71    18     26   21      1     30    24    80.00
  48   31    0   81.48  81.48    22     27   27      2     31    30    96.77
  49   18    0   85.00  89.47    17     20   19      0     18    18   100.00
  50    5    0  100.00  83.33     5      5    6      0      5     5   100.00
  51   15    0   66.67  80.00     8     12   10      2     15    13    86.67
  52   22    0   85.71  92.31    12     14   13      0     22    20    90.91
  53   26    0   72.73  80.00    16     22   20      2     26    24    92.31
  54   16    0   90.00  81.82     9     10   11      0     16    16   100.00
  55   25    0   73.08  76.00    19     26   25      2     25    25   100.00
  56   48    0   60.71  62.96    17     28   27      7     48    42    87.50
  57   28    0   57.69  60.00    15     26   25      9     28    25    89.29
  58   28    0   66.67  70.00    14     21   20      1     28    26    92.86
  59    8    0   85.71  85.71     6      7    7      0      8     7    87.50
  60   23    0   68.42  65.00    13     19   20      7     23    21    91.30
  61   24    0   55.56  50.00    10     18   20      6     24    23    95.83
  62   18    0   88.24  83.33    15     17   18      2     18    18   100.00
  63   18    0   93.33  87.50    14     15   16      0     18    18   100.00
  64   25    0   91.30  91.30    21     23   23      1     25    24    96.00
  65   34    0   85.19  85.19    23     27   27      2     34    33    97.06
  66   19    0   47.06  47.06     8     17   17      2     19    17    89.47
  67   27    0   50.00  50.00    13     26   26     10     27    27   100.00
  68   28    0   86.67  72.22    13     15   18      1     28    25    89.29
  69   34    0   75.00  66.67    18     24   27      6     34    34   100.00
  70   38    0   90.62  90.62    29     32   32      2     38    37    97.37
  71   13    0  100.00 100.00    14     14   14      0     13    13   100.00
  72   14    0   91.67  91.67    11     12   12      0     14    14   100.00
  73   23    0   50.00  42.86     6     12   14      2     23    22    95.65
  74   28    0   82.61  79.17    19     23   24      3     28    25    89.29
  75    6    0  100.00 100.00     5      5    5      0      6     6   100.00
  76   26    0   65.38  73.91    17     26   23      5     26    23    88.46
  77   16    0   53.33  53.33     8     15   15      6     16    14    87.50
  78   33    0   84.85  80.00    28     33   35      3     33    31    93.94
  79   14    0  100.00 100.00    12     12   12      0     14    13    92.86
  80   26    0   66.67  60.00    12     18   20      2     26    22    84.62
  81   16    0  100.00  90.00     9      9   10      0     16    14    87.50
  82   16    0   76.92  83.33    10     13   12      1     16    16   100.00
  83   25    0  100.00  96.15    25     25   26      0     25    24    96.00
  84   20    0   42.11  53.33     8     19   15      4     20    17    85.00
  85   41    0   78.79  81.25    26     33   32      4     41    40    97.56
  86   22    0   80.95  80.95    17     21   21      0     22    22   100.00
  87   26    0   66.67  70.00    14     21   20      2     26    26   100.00
  88   30    0   63.16  63.16    12     19   19      2     30    30   100.00
  89    8    0   91.67  91.67    11     12   12      0      8     7    87.50
  90    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  91   19    0   75.00  75.00    15     20   20      2     19    19   100.00
  92   25    0   63.64  58.33    14     22   24      5     25    24    96.00
  93   33    0   82.76  82.76    24     29   29      2     33    32    96.97
  94   20    0   76.47  81.25    13     17   16      0     20    20   100.00
  95   32    0   88.46  92.00    23     26   25      1     32    31    96.88
  96   28    0   73.91  73.91    17     23   23      4     28    27    96.43
  97   32    0   84.21  72.73    16     19   22      3     32    32   100.00
  98   33    0   88.00  81.48    22     25   27      4     33    33   100.00
  99   33    0   88.00  91.67    22     25   24      2     33    32    96.97
 100    9    0  100.00 100.00     8      8    8      0      9     9   100.00
 101    8    0  100.00 100.00     7      7    7      0      8     8   100.00
 102   23    0   73.68  73.68    14     19   19      4     23    22    95.65
 103   21    0   85.71  75.00    12     14   16      2     21    21   100.00
 104   39    0   97.14 100.00    34     35   34      0     39    39   100.00
 105   26    0   80.95  77.27    17     21   22      4     26    26   100.00
 106   20    0   90.00  75.00     9     10   12      0     20    20   100.00
 107   37    0   77.78  66.67    14     18   21      3     37    28    75.68
 108   25    0   89.47  85.00    17     19   20      1     25    22    88.00
 109   53    0   63.64  60.00    21     33   35     10     53    50    94.34
 110   23    0  100.00  94.74    18     18   19      0     23    22    95.65
 111   34    0   77.78  80.77    21     27   26      4     34    34   100.00
 112   11    0  100.00 100.00     8      8    8      0     11    11   100.00
 113   46    0   75.00  67.50    27     36   40      7     46    41    89.13
 114   24    0   95.65  91.67    22     23   24      1     24    23    95.83
 115   27    0   95.24  86.96    20     21   23      1     27    27   100.00
 116   55    0   88.89  70.59    24     27   34      2     55    55   100.00
 117   26    0   85.71  78.26    18     21   23      2     26    26   100.00
 118   31    0   82.61  82.61    19     23   23      1     31    31   100.00
 119   26    0   77.27  73.91    17     22   23      5     26    25    96.15
 120   14    0   81.82  81.82     9     11   11      1     14    14   100.00
 121   21    0   95.00  95.00    19     20   20      0     21    21   100.00
 122   21    0   88.89  84.21    16     18   19      0     21    20    95.24
 123   17    0   75.00  75.00     9     12   12      3     17    16    94.12
 124   36    0   81.82  78.26    18     22   23      3     36    31    86.11
 125   15    0   90.91  90.91    10     11   11      0     15    14    93.33
 126   17    0  100.00 100.00    11     11   11      0     17    17   100.00
 127   30    0   82.14  85.19    23     28   27      2     30    29    96.67
 128   15    0   81.82  75.00     9     11   12      2     15    15   100.00
 129   11    0   80.00  72.73     8     10   11      2     11    11   100.00
 130   20    0   73.33  78.57    11     15   14      1     20    18    90.00
 131   31    0   81.48  84.62    22     27   26      4     31    31   100.00
 132   17    0  100.00 100.00    12     12   12      0     17    17   100.00
 133   19    0   88.89  94.12    16     18   17      1     19    19   100.00
 134   35    0   73.08  73.08    19     26   26      3     35    33    94.29
 135   18    0   78.57  73.33    11     14   15      2     18    18   100.00
 136   28    0   84.21  80.00    16     19   20      2     28    28   100.00
 137   36    0   85.19  82.14    23     27   28      3     36    32    88.89
 138    9    0   62.50  71.43     5      8    7      0      9     9   100.00
 139    6    0  100.00 100.00     5      5    5      0      6     6   100.00
 140    6    0  100.00 100.00     6      6    6      0      6     6   100.00
 141   14    0   72.73  72.73     8     11   11      2     14    14   100.00
 142   25    0   86.36  86.36    19     22   22      3     25    24    96.00
 143   21    0   70.59  70.59    12     17   17      2     21    20    95.24
 144    8    0  100.00 100.00     9      9    9      0      8     8   100.00
 145   16    0   73.33  73.33    11     15   15      3     16    16   100.00
 146   19    0   82.35  87.50    14     17   16      2     19    19   100.00
 147   32    0   54.55  66.67    12     22   18      4     32    29    90.62
 148   32    0   70.00  63.64    14     20   22      4     32    29    90.62
 149   26    0   86.36  90.48    19     22   21      2     26    26   100.00
 150   26    0   92.59  80.65    25     27   31      3     26    23    88.46
 151   11    0   77.78  77.78     7      9    9      1     11    11   100.00
