name	index	pos-perplexity	neg-perplexity	correct	pos-sentence-processed	neg-sentence-processed
simple_agrmt	0	136.63	221.84	1	the author UNK-LC-s .	the author UNK-LC .
simple_agrmt	1	136.63	221.84	1	the author UNK-LC-s .	the author UNK-LC .
simple_agrmt	2	136.63	221.84	1	the author UNK-LC-s .	the author UNK-LC .
simple_agrmt	3	259.53	292.13	1	the author is tall .	the author are tall .
simple_agrmt	4	135.27	152.26	1	the author is old .	the author are old .
simple_agrmt	5	167.07	188.56	1	the author is young .	the author are young .
simple_agrmt	6	151.47	170.68	1	the author is short .	the author are short .
simple_agrmt	7	123.63	201.22	1	the pilot UNK-LC-s .	the pilot UNK-LC .
simple_agrmt	8	123.63	201.22	1	the pilot UNK-LC-s .	the pilot UNK-LC .
simple_agrmt	9	123.63	201.22	1	the pilot UNK-LC-s .	the pilot UNK-LC .
simple_agrmt	10	239.58	269.66	1	the pilot is tall .	the pilot are tall .
simple_agrmt	11	124.87	140.55	1	the pilot is old .	the pilot are old .
simple_agrmt	12	154.22	174.06	1	the pilot is young .	the pilot are young .
simple_agrmt	13	139.83	157.55	1	the pilot is short .	the pilot are short .
simple_agrmt	14	34.8	45.64	1	the UNK-LC UNK-LC-s .	the UNK-LC UNK-LC .
simple_agrmt	15	34.8	45.64	1	the UNK-LC UNK-LC-s .	the UNK-LC UNK-LC .
simple_agrmt	16	34.8	45.64	1	the UNK-LC UNK-LC-s .	the UNK-LC UNK-LC .
simple_agrmt	17	87.31	98.27	1	the UNK-LC is tall .	the UNK-LC are tall .
simple_agrmt	0	45.5	51.22	1	the UNK-LC is old .	the UNK-LC are old .
simple_agrmt	1	56.2	63.43	1	the UNK-LC is young .	the UNK-LC are young .
simple_agrmt	2	50.95	57.41	1	the UNK-LC is short .	the UNK-LC are short .
simple_agrmt	3	136.63	221.84	1	the farmer UNK-LC-s .	the farmer UNK-LC .
simple_agrmt	4	136.63	221.84	1	the farmer UNK-LC-s .	the farmer UNK-LC .
simple_agrmt	5	136.63	221.84	1	the farmer UNK-LC-s .	the farmer UNK-LC .
simple_agrmt	6	259.53	292.13	1	the farmer is tall .	the farmer are tall .
simple_agrmt	7	135.27	152.26	1	the farmer is old .	the farmer are old .
simple_agrmt	8	167.07	188.56	1	the farmer is young .	the farmer are young .
simple_agrmt	9	151.47	170.68	1	the farmer is short .	the farmer are short .
simple_agrmt	10	86.97	141.81	1	the manager UNK-LC-s .	the manager UNK-LC .
simple_agrmt	11	86.97	141.81	1	the manager UNK-LC-s .	the manager UNK-LC .
