name	index	pos-perplexity	neg-perplexity	correct	pos-sentence-processed	neg-sentence-processed
simple_agrmt	0	576.55	827.02	1	the author laughs .	the author laugh .
simple_agrmt	1	195.17	230.11	1	the author UNK-LC-s .	the author UNK-LC .
simple_agrmt	2	195.17	983.17	1	the author UNK-LC-s .	the author smile .
simple_agrmt	3	333.3	370.42	1	the author is tall .	the author are tall .
simple_agrmt	4	173.34	192.79	1	the author is old .	the author are old .
simple_agrmt	5	209.46	235.14	1	the author is young .	the author are young .
simple_agrmt	6	192.98	213.5	1	the author is short .	the author are short .
simple_agrmt	7	521.38	747.86	1	the pilot laughs .	the pilot laugh .
simple_agrmt	8	176.49	208.07	1	the pilot UNK-LC-s .	the pilot UNK-LC .
simple_agrmt	9	176.49	889.02	1	the pilot UNK-LC-s .	the pilot smile .
simple_agrmt	10	307.53	341.78	1	the pilot is tall .	the pilot are tall .
simple_agrmt	11	159.94	177.89	1	the pilot is old .	the pilot are old .
simple_agrmt	12	193.27	216.96	1	the pilot is young .	the pilot are young .
simple_agrmt	13	178.06	197.0	1	the pilot is short .	the pilot are short .
simple_agrmt	14	973.97	1396.9	1	the surgeon laughs .	the surgeon laugh .
simple_agrmt	15	329.66	388.18	1	the surgeon UNK-LC-s .	the surgeon UNK-LC .
simple_agrmt	16	329.66	1660.61	1	the surgeon UNK-LC-s .	the surgeon smile .
simple_agrmt	17	507.0	563.46	1	the surgeon is tall .	the surgeon are tall .
simple_agrmt	0	263.67	293.26	1	the surgeon is old .	the surgeon are old .
simple_agrmt	1	318.62	357.68	1	the surgeon is young .	the surgeon are young .
simple_agrmt	2	293.55	324.77	1	the surgeon is short .	the surgeon are short .
simple_agrmt	3	576.55	827.02	1	the farmer laughs .	the farmer laugh .
simple_agrmt	4	195.17	230.11	1	the farmer UNK-LC-s .	the farmer UNK-LC .
simple_agrmt	5	195.17	983.17	1	the farmer UNK-LC-s .	the farmer smile .
simple_agrmt	6	333.3	370.42	1	the farmer is tall .	the farmer are tall .
simple_agrmt	7	173.34	192.79	1	the farmer is old .	the farmer are old .
simple_agrmt	8	209.46	235.14	1	the farmer is young .	the farmer are young .
simple_agrmt	9	192.98	213.5	1	the farmer is short .	the farmer are short .
simple_agrmt	10	366.87	526.26	1	the manager laughs .	the manager laugh .
simple_agrmt	11	124.19	146.43	1	the manager UNK-LC-s .	the manager UNK-LC .
simple_agrmt	12	124.19	625.62	1	the manager UNK-LC-s .	the manager smile .
simple_agrmt	13	232.16	258.02	1	the manager is tall .	the manager are tall .
simple_agrmt	14	120.74	134.29	1	the manager is old .	the manager are old .
simple_agrmt	15	145.9	163.79	1	the manager is young .	the manager are young .
simple_agrmt	16	134.42	148.71	1	the manager is short .	the manager are short .
simple_agrmt	17	437.12	627.02	1	the customer laughs .	the customer laugh .
simple_agrmt	0	147.97	174.48	1	the customer UNK-LC-s .	the customer UNK-LC .
simple_agrmt	1	147.97	745.41	1	the customer UNK-LC-s .	the customer smile .
simple_agrmt	2	267.08	296.83	1	the customer is tall .	the customer are tall .
simple_agrmt	3	138.9	154.49	1	the customer is old .	the customer are old .
simple_agrmt	4	167.85	188.43	1	the customer is young .	the customer are young .
simple_agrmt	5	154.64	171.09	1	the customer is short .	the customer are short .
simple_agrmt	6	307.26	440.74	1	the officer laughs .	the officer laugh .
simple_agrmt	7	104.01	122.63	1	the officer UNK-LC-s .	the officer UNK-LC .
simple_agrmt	8	104.01	523.96	1	the officer UNK-LC-s .	the officer smile .
simple_agrmt	9	201.45	223.89	1	the officer is tall .	the officer are tall .
simple_agrmt	10	104.77	116.53	1	the officer is old .	the officer are old .
simple_agrmt	11	126.6	142.12	1	the officer is young .	the officer are young .
simple_agrmt	12	116.64	129.04	1	the officer is short .	the officer are short .
simple_agrmt	13	832.66	1194.41	1	the teacher laughs .	the teacher laugh .
simple_agrmt	14	281.87	332.36	1	the teacher UNK-LC-s .	the teacher UNK-LC .
simple_agrmt	15	281.87	1419.93	1	the teacher UNK-LC-s .	the teacher smile .
simple_agrmt	16	447.24	497.06	1	the teacher is tall .	the teacher are tall .
simple_agrmt	17	232.6	258.7	1	the teacher is old .	the teacher are old .
simple_agrmt	0	281.07	315.53	1	the teacher is young .	the teacher are young .
simple_agrmt	1	258.96	286.49	1	the teacher is short .	the teacher are short .
simple_agrmt	2	699.41	1002.89	1	the senator laughs .	the senator laugh .
simple_agrmt	3	236.68	278.07	1	the senator UNK-LC-s .	the senator UNK-LC .
simple_agrmt	4	236.68	1192.16	1	the senator UNK-LC-s .	the senator smile .
simple_agrmt	5	389.01	432.33	1	the senator is tall .	the senator are tall .
simple_agrmt	6	202.31	225.01	1	the senator is old .	the senator are old .
simple_agrmt	7	244.47	274.44	1	the senator is young .	the senator are young .
simple_agrmt	8	225.24	249.18	1	the senator is short .	the senator are short .
simple_agrmt	9	445.68	639.3	1	the consultant laughs .	the consultant laugh .
simple_agrmt	10	150.87	177.89	1	the consultant UNK-LC-s .	the consultant UNK-LC .
simple_agrmt	11	150.87	760.01	1	the consultant UNK-LC-s .	the consultant smile .
